# Day,Lon,Lat,Altitude[m],NO,acd_NO,NO2,acd_NO2,O3,acd_O3,FORM,toga_CH2O,HNO3,zhou_HNO3,ISOP,ptrms_isoprene,MEOH,toga_Methanol,MEOH,ptrms_methanol,ALD2,toga_Acetaldehyde,ALD2,ptrms_acetaldehyde,ACET,toga_Acetone,BENZ,toga_Benzene,PRPA,toga_Propane,TERP,ptrms_sum_of_monoterpenes,ISPD+HPLD,ptrms_MVK_MACR
20130603,-87.47852,35.26369,4576.412,0.011,-999.000,0.009,49.457,45.690,108.814,0.139,535.000,0.027,-999.000,0.000,0.223,0.407,1477.000,0.407,-999.000,0.007,119.600,0.007,-999.000,0.396,1213.000,0.000,12.510,0.100,252.000,0.000,-999.000,0.000,-999.000
20130603,-87.48161,35.19803,4576.069,0.011,-999.000,0.010,48.750,44.907,106.352,0.140,535.000,0.027,-999.000,0.000,0.255,0.387,1477.000,0.387,-999.000,0.006,119.600,0.006,-999.000,0.386,1213.000,0.000,12.510,0.100,252.000,0.000,-999.000,0.000,-999.000
20130603,-87.48481,35.13193,4577.092,0.011,-999.000,0.010,50.398,44.870,103.961,0.143,609.000,0.028,-999.000,0.000,0.249,0.372,1467.000,0.372,-999.000,0.006,91.400,0.006,-999.000,0.380,1144.000,0.000,28.150,0.100,149.000,0.000,-999.000,0.000,-999.000
20130603,-87.48795,35.06481,4577.888,0.011,-999.000,0.010,45.852,44.870,98.339,0.143,609.000,0.028,-999.000,0.000,0.190,0.372,1467.000,0.372,-999.000,0.006,91.400,0.006,-999.000,0.380,1144.000,0.000,28.150,0.100,149.000,0.000,-999.000,0.000,-999.000
20130603,-87.49113,34.99713,4578.037,0.011,-999.000,0.011,-999.000,45.010,-999.000,0.146,553.000,0.030,-999.000,0.000,0.221,0.368,1687.000,0.368,-999.000,0.006,84.800,0.006,-999.000,0.378,1144.000,0.000,33.520,0.100,143.000,0.000,-999.000,0.000,-999.000
20130603,-87.49433,34.92942,4578.133,0.011,-999.000,0.011,-999.000,45.010,-999.000,0.146,553.000,0.030,-999.000,0.000,0.227,0.368,1687.000,0.368,-999.000,0.006,84.800,0.006,-999.000,0.378,1144.000,0.000,33.520,0.100,143.000,0.000,-999.000,0.000,-999.000
20130603,-87.49754,34.86134,4578.716,0.011,-999.000,0.012,-999.000,45.599,-999.000,0.149,576.000,0.033,-999.000,0.000,0.287,0.372,1498.000,0.372,-999.000,0.006,118.700,0.006,-999.000,0.381,1194.000,0.000,12.110,0.100,257.000,0.000,-999.000,0.000,-999.000
20130603,-87.50074,34.79289,4578.929,0.012,-999.000,0.013,-999.000,46.125,112.045,0.151,576.000,0.037,-999.000,0.000,0.232,0.379,1498.000,0.379,-999.000,0.007,118.700,0.007,-999.000,0.384,1194.000,0.000,12.110,0.100,257.000,0.000,-999.000,0.000,-999.000
20130603,-87.50391,34.72440,4576.811,0.012,29.825,0.013,19.419,46.125,110.169,0.151,579.000,0.037,-999.000,0.000,0.245,0.379,1595.000,0.379,-999.000,0.007,120.500,0.007,-999.000,0.384,1214.000,0.000,13.080,0.100,288.000,0.000,-999.000,0.000,-999.000
20130603,-87.50716,34.65821,4433.500,0.012,20.073,0.013,26.977,48.301,108.417,0.155,579.000,0.045,-999.000,0.000,0.247,0.423,1595.000,0.423,-999.000,0.008,120.500,0.008,-999.000,0.405,1214.000,0.000,13.080,0.100,288.000,0.000,-999.000,0.000,-999.000
